latitude,longitude,altitude,geometry,previous_dominating_activity,bearing,previous_dominating_activity_confidence,current_dominating_activity,timestamp,created_at,feature,id,speed,route,current_dominating_activity_confidence,accuracy
-6.9370803,39.3335046,,Point,in_vehicle,0,34,,2015-12-04T08:40:56+03:00,2015-12-04 05:38:40,passive_tracking,319,0,,0,40.5
-6.7692801,39.2802924,,Point,in_vehicle,0,54,,2015-12-04T08:43:18+03:00,2015-12-04 05:43:24,passive_tracking,320,0,,0,30
-6.8122936,39.2877279,,Point,in_vehicle,0,33,,2015-12-04T08:56:25+03:00,2015-12-04 06:00:52,passive_tracking,321,0,,0,36
-6.8122924,39.2877966,,Point,still,0,44,,2015-12-04T09:07:56+03:00,2015-12-04 06:12:20,passive_tracking,322,0,,0,40.5
-6.8722083,39.1625983,,Point,in_vehicle,153,28,,2015-12-04T10:34:49+03:00,2015-12-04 07:35:17,passive_tracking,324,153,,0,8
-6.8735416,39.1631533,,Point,on_foot,105,77,,2015-12-04T10:37:50+03:00,2015-12-04 07:39:00,passive_tracking,325,105,,0,5.9
-6.7693067,39.2802723,,Point,on_foot,0,33,,2015-12-04T12:53:07+03:00,2015-12-04 09:53:11,passive_tracking,328,0,,0,40.5
-6.8121947,39.287829,,Point,still,0,37,,2015-12-04T13:15:16+03:00,2015-12-04 10:19:41,passive_tracking,329,0,,0,30
-6.7811225,39.2805994,,Point,in_vehicle,0,85,still,2015-12-04T14:01:12+03:00,2015-12-04 11:01:14,passive_tracking,330,0,,100,36.37
-6.769266,39.2803122,,Point,still,0,46,,2015-12-04T15:13:57+03:00,2015-12-04 12:14:03,passive_tracking,332,0,,0,30
-6.7677558,39.2734452,,Point,in_vehicle,0,35,,2015-12-04T17:14:00+03:00,2015-12-04 14:14:05,passive_tracking,333,0,,0,12.27
-6.8758483,39.165555,,Point,on_foot,66,77,,2015-12-04T10:45:15+03:00,2015-12-04 07:45:21,passive_tracking,335,66,,0,10.2
-6.8123043,39.2877971,,Point,still,0,77,,2015-12-04T12:17:08+03:00,2015-12-04 09:21:35,passive_tracking,336,0,,0,40.5
-6.8125984,39.2877002,,Point,still,0,48,,2015-12-04T12:45:02+03:00,2015-12-04 09:49:33,passive_tracking,338,0,,0,57
-6.8122802,39.2877854,,Point,in_vehicle,0,77,,2015-12-04T12:49:25+03:00,2015-12-04 09:53:47,passive_tracking,339,0,,0,34.5
-6.7622958,39.2818122,,Point,in_vehicle,0,77,,2015-12-04T13:54:45+03:00,2015-12-04 10:54:51,passive_tracking,341,0,,0,49.5
-6.7695236,39.2803061,,Point,in_vehicle,0,100,,2015-12-04T14:17:02+03:00,2015-12-04 11:17:08,passive_tracking,342,0,,0,67.5
-6.7688262,39.2803728,,Point,in_vehicle,0,44,,2015-12-04T16:32:01+03:00,2015-12-04 13:32:12,passive_tracking,345,0,,0,48
-6.7534458,39.2816629,,Point,still,0,50,,2015-12-04T17:59:03+03:00,2015-12-04 14:59:08,passive_tracking,346,0,,0,112.5
-6.7538549,39.2838874,,Point,on_foot,0,19,,2015-12-04T18:22:57+03:00,2015-12-04 15:23:10,passive_tracking,347,0,,0,125.821
-6.7529211,39.2812817,,Point,in_vehicle,0,69,,2015-12-04T17:20:55+03:00,2015-12-04 14:21:01,passive_tracking,349,0,,0,64.187
-6.762816,39.2808513,,Point,in_vehicle,0,29,,2015-12-04T18:26:13+03:00,2015-12-04 15:26:24,passive_tracking,350,0,,0,46.44
-6.7626834,39.2811051,,Point,in_vehicle,317,29,,2015-12-04T19:25:00+03:00,2015-12-04 16:25:16,passive_tracking,351,317,,0,7
-6.7494041,39.2837969,,Point,in_vehicle,0,79,,2015-12-04T19:41:59+03:00,2015-12-04 16:42:05,passive_tracking,352,0,,0,52.5
-6.744512,39.2820536,,Point,still,0,69,,2015-12-04T19:43:22+03:00,2015-12-04 16:43:30,passive_tracking,353,0,,0,118.5
-6.7649419,39.2757774,,Point,in_vehicle,0,24,,2015-12-04T20:51:45+03:00,2015-12-04 17:52:04,passive_tracking,355,0,,0,45
-6.7637436,39.2755395,,Point,still,0,50,,2015-12-04T21:00:02+03:00,2015-12-04 18:00:08,passive_tracking,356,0,,0,13
-6.763708,39.2755992,,Point,still,289,44,,2015-12-04T21:07:39+03:00,2015-12-04 18:07:56,passive_tracking,357,289,,0,11
-6.8287856,39.3116297,,Point,still,0,60,,2015-12-04T22:02:42+03:00,2015-12-04 19:05:43,passive_tracking,359,0,,0,27
-6.7637768,39.2756533,,Point,still,0,48,,2015-12-04T22:15:05+03:00,2015-12-04 19:15:10,passive_tracking,360,0,,0,19.565
-6.8287205,39.3115783,,Point,still,0,58,,2015-12-04T21:58:15+03:00,2015-12-04 18:58:24,passive_tracking,361,0,,0,43
-6.7649324,39.2757646,,Point,still,0,31,,2015-12-04T22:23:15+03:00,2015-12-04 19:23:24,passive_tracking,362,0,,0,40.5
-6.8287856,39.3116297,,Point,still,0,69,,2015-12-04T22:23:40+03:00,2015-12-04 19:23:46,passive_tracking,363,0,,0,27
-6.7451695,39.2827959,,Point,still,0,35,,2015-12-05T01:03:03+03:00,2015-12-04 22:03:06,passive_tracking,371,0,,0,24.478
-6.7444972,39.277946,,Point,still,0,27,on_foot,2015-12-05T01:14:48+03:00,2015-12-04 22:14:55,passive_tracking,374,0,,46,67.5
